name,length,theme,rationale,ideation_quality,crates_io,debian,debian_collision,homebrew,homebrew_collision,npm,crates_url,debian_search_url,homebrew_search_url,npm_url
elenx,5,inspection-rare,"Close examination, screening, or diagnostic work",6,available,available,,available,,available,https://crates.io/crates/elenx,https://packages.debian.org/search?keywords=elenx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=elenx,https://www.npmjs.com/package/elenx
fidu,4,metrology,A fixed reference or pass/fail measurement,6,available,available,,available,,available,https://crates.io/crates/fidu,https://packages.debian.org/search?keywords=fidu&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=fidu,https://www.npmjs.com/package/fidu
fiduc,5,metrology,A fixed reference or pass/fail measurement,6,available,available,,available,,available,https://crates.io/crates/fiduc,https://packages.debian.org/search?keywords=fiduc&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=fiduc,https://www.npmjs.com/package/fiduc
grans,5,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/grans,https://packages.debian.org/search?keywords=grans&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=grans,https://www.npmjs.com/package/grans
krino,5,judgment,"Judgment, approval, standards, or peer collaboration",6,available,available,,available,,available,https://crates.io/crates/krino,https://packages.debian.org/search?keywords=krino&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=krino,https://www.npmjs.com/package/krino
naqd,4,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/naqd,https://packages.debian.org/search?keywords=naqd&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=naqd,https://www.npmjs.com/package/naqd
naqid,5,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/naqid,https://packages.debian.org/search?keywords=naqid&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=naqid,https://www.npmjs.com/package/naqid
nital,5,finishing,A flaw or rough remnant found and removed during finishing,6,available,available,,available,,available,https://crates.io/crates/nital,https://packages.debian.org/search?keywords=nital&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=nital,https://www.npmjs.com/package/nital
pruef,5,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/pruef,https://packages.debian.org/search?keywords=pruef&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pruef,https://www.npmjs.com/package/pruef
recen,5,inspection-rare,"Close examination, screening, or diagnostic work",6,available,available,,available,,available,https://crates.io/crates/recen,https://packages.debian.org/search?keywords=recen&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=recen,https://www.npmjs.com/package/recen
relir,5,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/relir,https://packages.debian.org/search?keywords=relir&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=relir,https://www.npmjs.com/package/relir
revoi,5,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/revoi,https://packages.debian.org/search?keywords=revoi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=revoi,https://www.npmjs.com/package/revoi
ryna,4,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/ryna,https://packages.debian.org/search?keywords=ryna&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ryna,https://www.npmjs.com/package/ryna
sceaw,5,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/sceaw,https://packages.debian.org/search?keywords=sceaw&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=sceaw,https://www.npmjs.com/package/sceaw
snagr,5,finishing,A flaw or rough remnant found and removed during finishing,6,available,available,,available,,available,https://crates.io/crates/snagr,https://packages.debian.org/search?keywords=snagr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=snagr,https://www.npmjs.com/package/snagr
stead,5,persistence,Staying attached to the same underlying content,6,available,available,,available,,available,https://crates.io/crates/stead,https://packages.debian.org/search?keywords=stead&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=stead,https://www.npmjs.com/package/stead
tarki,5,languages,"Compact root for review, rereading, or scrutiny in another language",6,available,available,,available,,available,https://crates.io/crates/tarki,https://packages.debian.org/search?keywords=tarki&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=tarki,https://www.npmjs.com/package/tarki
vettr,5,inspection-rare,"Close examination, screening, or diagnostic work",6,available,available,,available,,available,https://crates.io/crates/vettr,https://packages.debian.org/search?keywords=vettr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=vettr,https://www.npmjs.com/package/vettr
btape,5,approval-gate,"A punch list, rating, or permission to proceed",5,available,available,,available,,available,https://crates.io/crates/btape,https://packages.debian.org/search?keywords=btape&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=btape,https://www.npmjs.com/package/btape
cense,5,judgment,"Judgment, approval, standards, or peer collaboration",5,available,available,,available,,available,https://crates.io/crates/cense,https://packages.debian.org/search?keywords=cense&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cense,https://www.npmjs.com/package/cense
clued,5,persistence,Staying attached to the same underlying content,5,available,available,,available,,available,https://crates.io/crates/clued,https://packages.debian.org/search?keywords=clued&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=clued,https://www.npmjs.com/package/clued
hunkr,5,review-slang,Developer-review vocabulary or compact critique coinage,5,available,available,,available,,available,https://crates.io/crates/hunkr,https://packages.debian.org/search?keywords=hunkr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=hunkr,https://www.npmjs.com/package/hunkr
nitpi,5,review-slang,Developer-review vocabulary or compact critique coinage,5,available,available,,available,,available,https://crates.io/crates/nitpi,https://packages.debian.org/search?keywords=nitpi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=nitpi,https://www.npmjs.com/package/nitpi
parly,5,council,Peers meeting to discuss and reach judgment,5,available,available,,available,,available,https://crates.io/crates/parly,https://packages.debian.org/search?keywords=parly&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=parly,https://www.npmjs.com/package/parly
plims,5,approval-gate,"A punch list, rating, or permission to proceed",5,available,available,,available,,available,https://crates.io/crates/plims,https://packages.debian.org/search?keywords=plims&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=plims,https://www.npmjs.com/package/plims
prati,5,approval-gate,"A punch list, rating, or permission to proceed",5,available,available,,available,,available,https://crates.io/crates/prati,https://packages.debian.org/search?keywords=prati&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=prati,https://www.npmjs.com/package/prati
redin,5,review-slang,Developer-review vocabulary or compact critique coinage,5,available,available,,available,,available,https://crates.io/crates/redin,https://packages.debian.org/search?keywords=redin&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=redin,https://www.npmjs.com/package/redin
redtg,5,approval-gate,"A punch list, rating, or permission to proceed",5,available,available,,available,,available,https://crates.io/crates/redtg,https://packages.debian.org/search?keywords=redtg&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=redtg,https://www.npmjs.com/package/redtg
revis,5,languages,"Compact root for review, rereading, or scrutiny in another language",5,available,available,,available,,available,https://crates.io/crates/revis,https://packages.debian.org/search?keywords=revis&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=revis,https://www.npmjs.com/package/revis
rived,5,languages,"Compact root for review, rereading, or scrutiny in another language",5,available,available,,available,,available,https://crates.io/crates/rived,https://packages.debian.org/search?keywords=rived&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=rived,https://www.npmjs.com/package/rived
scurf,5,finishing,A flaw or rough remnant found and removed during finishing,5,available,available,,available,,available,https://crates.io/crates/scurf,https://packages.debian.org/search?keywords=scurf&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=scurf,https://www.npmjs.com/package/scurf
stays,5,persistence,Staying attached to the same underlying content,5,available,available,,available,,available,https://crates.io/crates/stays,https://packages.debian.org/search?keywords=stays&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=stays,https://www.npmjs.com/package/stays
witns,5,metrology,A fixed reference or pass/fail measurement,5,available,available,,available,,available,https://crates.io/crates/witns,https://packages.debian.org/search?keywords=witns&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=witns,https://www.npmjs.com/package/witns
ackd,4,review-slang,Developer-review vocabulary or compact critique coinage,4,available,available,,available,,available,https://crates.io/crates/ackd,https://packages.debian.org/search?keywords=ackd&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ackd,https://www.npmjs.com/package/ackd
morsl,5,cooking,"Cooking, tasting, preparation, or the pass",4,available,available,,available,,available,https://crates.io/crates/morsl,https://packages.debian.org/search?keywords=morsl&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=morsl,https://www.npmjs.com/package/morsl
savur,5,cooking-rare,"Specialist tasting, sieving, or kitchen quality-control term",4,available,available,,available,,available,https://crates.io/crates/savur,https://packages.debian.org/search?keywords=savur&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=savur,https://www.npmjs.com/package/savur
tickt,5,approval-gate,"A punch list, rating, or permission to proceed",4,available,available,,available,,available,https://crates.io/crates/tickt,https://packages.debian.org/search?keywords=tickt&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=tickt,https://www.npmjs.com/package/tickt
bluin,5,metrology,A fixed reference or pass/fail measurement,3,available,available,,available,,available,https://crates.io/crates/bluin,https://packages.debian.org/search?keywords=bluin&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=bluin,https://www.npmjs.com/package/bluin
calip,5,inspection,"Looking closely, measuring, testing, or finding defects",3,available,available,,available,,available,https://crates.io/crates/calip,https://packages.debian.org/search?keywords=calip&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=calip,https://www.npmjs.com/package/calip
colum,5,editorial,"Editorial, manuscript, or proofing metaphor",3,available,available,,available,,available,https://crates.io/crates/colum,https://packages.debian.org/search?keywords=colum&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=colum,https://www.npmjs.com/package/colum
copye,5,editorial,"Editorial, manuscript, or proofing metaphor",3,available,available,,available,,available,https://crates.io/crates/copye,https://packages.debian.org/search?keywords=copye&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=copye,https://www.npmjs.com/package/copye
crite,5,review,"Review, critique, discussion, or a second look",3,available,available,,available,,available,https://crates.io/crates/crite,https://packages.debian.org/search?keywords=crite&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=crite,https://www.npmjs.com/package/crite
crits,5,review,"Review, critique, discussion, or a second look",3,available,available,,available,,available,https://crates.io/crates/crits,https://packages.debian.org/search?keywords=crits&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=crits,https://www.npmjs.com/package/crits
gybe,4,shipping,"Shipping, navigation, readiness, or a quality gate",3,available,available,,available,,available,https://crates.io/crates/gybe,https://packages.debian.org/search?keywords=gybe&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=gybe,https://www.npmjs.com/package/gybe
mancl,5,editorial-marks,Historic proofreading or textual-annotation mark,3,available,available,,available,,available,https://crates.io/crates/mancl,https://packages.debian.org/search?keywords=mancl&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=mancl,https://www.npmjs.com/package/mancl
moora,5,anchoring,"Fastening, persistence, or content anchoring",3,available,available,,available,,available,https://crates.io/crates/moora,https://packages.debian.org/search?keywords=moora&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=moora,https://www.npmjs.com/package/moora
moord,5,anchoring,"Fastening, persistence, or content anchoring",3,available,available,,available,,available,https://crates.io/crates/moord,https://packages.debian.org/search?keywords=moord&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=moord,https://www.npmjs.com/package/moord
moori,5,anchoring,"Fastening, persistence, or content anchoring",3,available,available,,available,,available,https://crates.io/crates/moori,https://packages.debian.org/search?keywords=moori&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=moori,https://www.npmjs.com/package/moori
moorn,5,anchoring,"Fastening, persistence, or content anchoring",3,available,available,,available,,available,https://crates.io/crates/moorn,https://packages.debian.org/search?keywords=moorn&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=moorn,https://www.npmjs.com/package/moorn
moory,5,anchoring,"Fastening, persistence, or content anchoring",3,available,available,,available,,available,https://crates.io/crates/moory,https://packages.debian.org/search?keywords=moory&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=moory,https://www.npmjs.com/package/moory
pilcr,5,editorial-marks,Historic proofreading or textual-annotation mark,3,available,available,,available,,available,https://crates.io/crates/pilcr,https://packages.debian.org/search?keywords=pilcr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pilcr,https://www.npmjs.com/package/pilcr
pinnd,5,persistence,Staying attached to the same underlying content,3,available,available,,available,,available,https://crates.io/crates/pinnd,https://packages.debian.org/search?keywords=pinnd&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=pinnd,https://www.npmjs.com/package/pinnd
redig,5,review,"Review, critique, discussion, or a second look",3,available,available,,available,,available,https://crates.io/crates/redig,https://packages.debian.org/search?keywords=redig&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=redig,https://www.npmjs.com/package/redig
redue,5,review,"Review, critique, discussion, or a second look",3,available,available,,available,,available,https://crates.io/crates/redue,https://packages.debian.org/search?keywords=redue&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=redue,https://www.npmjs.com/package/redue
revie,5,review,"Review, critique, discussion, or a second look",3,available,available,,available,,available,https://crates.io/crates/revie,https://packages.debian.org/search?keywords=revie&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=revie,https://www.npmjs.com/package/revie
scrye,5,inspection-rare,"Close examination, screening, or diagnostic work",3,available,available,,available,,available,https://crates.io/crates/scrye,https://packages.debian.org/search?keywords=scrye&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=scrye,https://www.npmjs.com/package/scrye
scryt,5,inspection-rare,"Close examination, screening, or diagnostic work",3,available,available,,available,,available,https://crates.io/crates/scryt,https://packages.debian.org/search?keywords=scryt&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=scryt,https://www.npmjs.com/package/scryt
selv,4,material,"Materials, structure, and durable workmanship",3,available,available,,available,,available,https://crates.io/crates/selv,https://packages.debian.org/search?keywords=selv&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=selv,https://www.npmjs.com/package/selv
sentr,5,inspection,"Looking closely, measuring, testing, or finding defects",3,available,available,,available,,available,https://crates.io/crates/sentr,https://packages.debian.org/search?keywords=sentr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=sentr,https://www.npmjs.com/package/sentr
signf,5,approval-gate,"A punch list, rating, or permission to proceed",3,available,available,,available,,available,https://crates.io/crates/signf,https://packages.debian.org/search?keywords=signf&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=signf,https://www.npmjs.com/package/signf
skewa,5,cooking-rare,"Specialist tasting, sieving, or kitchen quality-control term",3,available,available,,available,,available,https://crates.io/crates/skewa,https://packages.debian.org/search?keywords=skewa&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=skewa,https://www.npmjs.com/package/skewa
spexi,5,classical,"Classical or cross-language root for seeing, testing, or judging",3,available,available,,available,,available,https://crates.io/crates/spexi,https://packages.debian.org/search?keywords=spexi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=spexi,https://www.npmjs.com/package/spexi
ackra,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/ackra,https://packages.debian.org/search?keywords=ackra&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ackra,https://www.npmjs.com/package/ackra
ackro,5,coined-quality,Coined around quality gates and approval,2,available,available,,available,,available,https://crates.io/crates/ackro,https://packages.debian.org/search?keywords=ackro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ackro,https://www.npmjs.com/package/ackro
ancor,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/ancor,https://packages.debian.org/search?keywords=ancor&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ancor,https://www.npmjs.com/package/ancor
ancra,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/ancra,https://packages.debian.org/search?keywords=ancra&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ancra,https://www.npmjs.com/package/ancra
ancro,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/ancro,https://packages.debian.org/search?keywords=ancro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ancro,https://www.npmjs.com/package/ancro
ankio,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/ankio,https://packages.debian.org/search?keywords=ankio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ankio,https://www.npmjs.com/package/ankio
ankra,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/ankra,https://packages.debian.org/search?keywords=ankra&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ankra,https://www.npmjs.com/package/ankra
ankri,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/ankri,https://packages.debian.org/search?keywords=ankri&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ankri,https://www.npmjs.com/package/ankri
ankry,5,coined-anchor,"Coined from moor, anchor, bind, or rivet",2,available,available,,available,,available,https://crates.io/crates/ankry,https://packages.debian.org/search?keywords=ankry&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ankry,https://www.npmjs.com/package/ankry
annox,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/annox,https://packages.debian.org/search?keywords=annox&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=annox,https://www.npmjs.com/package/annox
anota,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/anota,https://packages.debian.org/search?keywords=anota&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=anota,https://www.npmjs.com/package/anota
anoti,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/anoti,https://packages.debian.org/search?keywords=anoti&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=anoti,https://www.npmjs.com/package/anoti
anoto,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/anoto,https://packages.debian.org/search?keywords=anoto&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=anoto,https://www.npmjs.com/package/anoto
antro,5,coined-notes,"Coined from note, mark, or annotation",2,available,available,,available,,available,https://crates.io/crates/antro,https://packages.debian.org/search?keywords=antro&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=antro,https://www.npmjs.com/package/antro
asaio,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/asaio,https://packages.debian.org/search?keywords=asaio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=asaio,https://www.npmjs.com/package/asaio
asay,4,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/asay,https://packages.debian.org/search?keywords=asay&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=asay,https://www.npmjs.com/package/asay
asaya,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/asaya,https://packages.debian.org/search?keywords=asaya&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=asaya,https://www.npmjs.com/package/asaya
asayo,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/asayo,https://packages.debian.org/search?keywords=asayo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=asayo,https://www.npmjs.com/package/asayo
ausc,4,diagnosis,"Diagnosis, observability, or health-check metaphor",2,available,available,,available,,available,https://crates.io/crates/ausc,https://packages.debian.org/search?keywords=ausc&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=ausc,https://www.npmjs.com/package/ausc
cheka,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/cheka,https://packages.debian.org/search?keywords=cheka&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cheka,https://www.npmjs.com/package/cheka
cheko,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/cheko,https://packages.debian.org/search?keywords=cheko&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cheko,https://www.npmjs.com/package/cheko
chekr,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/chekr,https://packages.debian.org/search?keywords=chekr&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=chekr,https://www.npmjs.com/package/chekr
cheku,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/cheku,https://packages.debian.org/search?keywords=cheku&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cheku,https://www.npmjs.com/package/cheku
chekz,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/chekz,https://packages.debian.org/search?keywords=chekz&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=chekz,https://www.npmjs.com/package/chekz
cheqa,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/cheqa,https://packages.debian.org/search?keywords=cheqa&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cheqa,https://www.npmjs.com/package/cheqa
cheqi,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/cheqi,https://packages.debian.org/search?keywords=cheqi&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cheqi,https://www.npmjs.com/package/cheqi
cheqo,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/cheqo,https://packages.debian.org/search?keywords=cheqo&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cheqo,https://www.npmjs.com/package/cheqo
cheqx,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/cheqx,https://packages.debian.org/search?keywords=cheqx&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cheqx,https://www.npmjs.com/package/cheqx
cheqy,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/cheqy,https://packages.debian.org/search?keywords=cheqy&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=cheqy,https://www.npmjs.com/package/cheqy
chkio,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/chkio,https://packages.debian.org/search?keywords=chkio&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=chkio,https://www.npmjs.com/package/chkio
chkup,5,coined-checking,Coined from check/test/assay,2,available,available,,available,,available,https://crates.io/crates/chkup,https://packages.debian.org/search?keywords=chkup&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=chkup,https://www.npmjs.com/package/chkup
crino,5,coined-critique,Coined from critique/critic,2,available,available,,available,,available,https://crates.io/crates/crino,https://packages.debian.org/search?keywords=crino&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=crino,https://www.npmjs.com/package/crino
crint,5,coined-critique,Coined from critique/critic,2,available,available,,available,,available,https://crates.io/crates/crint,https://packages.debian.org/search?keywords=crint&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=crint,https://www.npmjs.com/package/crint
criqa,5,coined-critique,Coined from critique/critic,2,available,available,,available,,available,https://crates.io/crates/criqa,https://packages.debian.org/search?keywords=criqa&searchon=names&suite=all&section=all,https://formulae.brew.sh/search?q=criqa,https://www.npmjs.com/package/criqa
